N,backend,solver,mean_time_s,std_time_s,n_repeats
10,cpu,multigrid,0.016462691800000005,0.010693776658474147,20
100,cpu,multigrid,0.2549968855,0.009061017084322215,20
1000,cpu,multigrid,21.77603165,0.19093792959938913,20
10000,cpu,multigrid,592.75116828125,1.0163629058935308,20
10,cpu,rb_sor,0.01217355205,0.007863706764302513,20
100,cpu,rb_sor,0.2814513624,0.020534338521770393,20
1000,cpu,rb_sor,23.70439116055,1.0086341216296093,20
10000,cpu,rb_sor,1099.8784818312502,149.00864232729703,20
10,cpu,sor,0.012161885449999998,0.010429091687958707,20
100,cpu,sor,0.99637787085,0.0883799997140332,20
1000,cpu,sor,65.36431974160001,5.837471842771726,20
10000,cpu,sor,2152.1989384541002,461.18992489086276,20
10,metal,multigrid,2.6030663126,0.08466649701029044,20
100,metal,multigrid,3.01198044155,0.25740821296326116,20
1000,metal,multigrid,28.9028725,0.49108681116211705,20
10000,metal,multigrid,860.0388252227998,10.389463487106667,20
10,metal,rb_sor,0.76609352705,0.03641826425753573,20
100,metal,rb_sor,0.7675098291,0.05009204422418775,20
1000,metal,rb_sor,5.057138843800001,0.2168446028037953,20
10000,metal,rb_sor,484.84940027695,13.773361410024503,20
