eta,mean_dimension,std_dimension,n_valid_runs
0.1,2.0776006823958038,0.07636727801923751,30
0.2,2.0969020363115427,0.08502408227010586,30
0.3,2.077051831148101,0.0794513888515653,30
0.4,2.0139536749293283,0.06466690232114665,30
0.5,1.943041800523083,0.07973040392825131,30
0.6,1.9229270867905304,0.07851750455717428,30
0.7,1.8068716851056108,0.07151878482747695,30
0.8,1.7742573501004886,0.07693251145292772,30
0.9,1.719353149467573,0.07451829533389581,30
1.0,1.692957916568935,0.10262565541644324,30
1.1,1.6273623485600028,0.10722655655258909,30
1.2,1.5583212143776322,0.09341153028652312,30
1.3,1.5271172652408704,0.08692370320898415,30
1.4,1.4805351031067935,0.09876037644071504,30
1.5,1.4491792036799447,0.09432159760516706,30
1.6,1.4532090445572223,0.100826968034104,30
1.7,1.4194976515461313,0.09003941982231434,30
1.8,1.384444904061487,0.07283325555656028,30
1.9,1.324033443591897,0.0776087915185343,30
2.0,1.2815832405317849,0.09478805106677943,30
